L,0.12661409378051758,RL,0.1153554916381836,0.009301900863647461
L,0.12081217765808105,RL,0.12115740776062012,0.011115074157714844
L,0.12180805206298828,RL,0.11893725395202637,0.011115074157714844
L,0.12081217765808105,RL,0.11915874481201172,0.01410675048828125
L,0.12180805206298828,RL,0.11893725395202637,0.013109445571899414
L,0.12090635299682617,RL,0.12006044387817383,0.013634204864501953
L,0.07982635498046875,LL,0.2612292766571045,0.13329219818115234
L,0.07882833480834961,LL,0.26117730140686035,0.13429021835327148
L,0.07647252082824707,LL,0.26425600051879883,0.13764190673828125
L,0.07593631744384766,LL,0.2589902877807617,0.13817811012268066
L,0.0774698257446289,LL,0.26057934761047363,0.1386406421661377
L,0.07593631744384766,LL,0.2589902877807617,0.13817811012268066
L,0.07593631744384766,LL,0.2589902877807617,0.13718223571777344
L,0.07793211936950684,LL,0.2580885887145996,0.13718223571777344
L,0.07793211936950684,LL,0.2589902877807617,0.13718223571777344
L,0.07793211936950684,LL,0.2580885887145996,0.13718223571777344
L,0.07693362236022949,LL,0.2589902877807617,0.13718223571777344
R,0.0836939811706543,LR,0.24874401092529297,0.16891765594482422
R,0.08134627342224121,LR,0.24585199356079102,0.16791987419128418
R,0.08418917655944824,LR,0.24989056587219238,0.17106223106384277
R,0.08334112167358398,LR,0.24585199356079102,0.16991567611694336
R,0.08418917655944824,LR,0.24500393867492676,0.16707181930541992
R,0.08451962471008301,LR,0.24738478660583496,0.16991496086120605
R,0.08633255958557129,LR,0.24585199356079102,0.16991567611694336
R,0.08718061447143555,LR,0.24886822700500488,0.17006468772888184
R,0.08533596992492676,LR,0.24684858322143555,0.1689164638519287
R,0.08418917655944824,LR,0.24500393867492676,0.16807031631469727
R,0.0833430290222168,LR,0.249739408493042,0.17091107368469238
R,0.0863642692565918,LR,0.24554014205932617,0.1690676212310791
R,0.1345381736755371,RR,119.92833256721497,119.84115195274353
R,0.133683443069458,RR,119.93033480644226,119.8466408252716
R,0.13381457328796387,RR,119.92905616760254,119.84269189834595
R,0.13338303565979004,RR,119.9304850101471,119.84629583358765

R,0.13472437858581543,RR,119.93029356002808,119.8439610004425
R,0.13381457328796387,RR,119.92905616760254,119.8418755531311
R,0.1345381736755371,RR,119.92848372459412,119.8451406955719
R,0.1364903450012207,RR,119.9304850101471,119.84629583358765
R,0.135833740234375,RR,119.92929697036743,119.8439610004425
R,0.135833740234375,RR,119.93029356002808,119.84894728660583
R,0.13791918754577637,RR,119.92820811271667,119.84486699104309
R,0.1386427879333496,RR,119.92833256721497,119.84414339065552
R,0.005983591079711914,RR,0.25040221214294434,0.11671876907348633
R,0.005883693695068359,RR,0.251631498336792,0.11781692504882812
R,0.0069315433502197266,RR,0.25130724906921387,0.11676907539367676
R,0.0069315433502197266,RR,0.25130724906921387,0.11676907539367676
R,0.010211467742919922,RR,0.2510192394256592,0.11237645149230957
R,0.00772547721862793,RR,0.2516930103302002,0.11696863174438477
R,0.00772547721862793,RR,0.25078511238098145,0.11696863174438477
R,0.009561538696289062,RR,0.25194239616394043,0.11402320861816406
R,0.00897526741027832,RR,0.2504432201385498,0.1146094799041748
R,0.010920286178588867,RR,0.2505836486816406,0.11676907539367676
R,0.007978439331054688,RR,0.2510998249053955,0.1146094799041748

R,0.00897526741027832,RR,0.2504432201385498,0.1146094799041748
R,0.009561538696289062,RR,0.25081467628479004,0.11713051795959473
R,0.11327409744262695,RR,0.0,-0.005983591079711914
R,0.11431312561035156,RR,0.0,-0.010211467742919922
R,0.11297726631164551,RR,0.0,-0.005883693695068359
R,0.11402511596679688,RR,0.0,-0.010920286178588867
R,0.11307740211486816,RR,0.0,-0.007978439331054688
,0.11307740211486816,RR,0.0,-0.007978439331054688
R,0.11282491683959961,RR,0.0,-0.00772547721862793
R,0.1136636734008789,RR,0.0,-0.009561538696289062
R,0.1136636734008789,RR,0.0,-0.009561538696289062
R,0.11402511596679688,RR,0.0,-0.0069315433502197266
R,0.11402511596679688,RR,0.0,-0.0069315433502197266
R,0.11382269859313965,RR,0.0,-0.00772547721862793
R,0.10527777671813965,RR,0.22672605514526367,0.11345195770263672
R,0.10527777671813965,RR,0.2259666919708252,0.11165356636047363
R,0.10494017601013184,RR,0.22601628303527832,0.11199116706848145
R,0.1061699390411377,RR,0.22601628303527832,0.11199116706848145

R,0.10490703582763672,RR,0.22623133659362793,0.11325407028198242
R,0.10567092895507812,RR,0.2259204387664795,0.11225676536560059
R,0.10488653182983398,RR,0.22770261764526367,0.11403894424438477
R,0.10389065742492676,RR,0.2278602123260498,0.11403751373291016
R,0.10189557075500488,RR,0.23010730743408203,0.11702990531921387
R,0.10313105583190918,RR,0.23010730743408203,0.11503481864929199
R,0.10313105583190918,RR,0.23010730743408203,0.11702990531921387
R,0.06332182884216309,RR,0.23059439659118652,0.12531661987304688
R,0.06376409530639648,RR,0.2302567958831787,0.12531661987304688
R,0.06476140022277832,RR,0.22925949096679688,0.12431931495666504
R,0.06476211547851562,RR,0.2302567958831787,0.12408685684204102
R,0.06476211547851562,RR,0.22899389266967773,0.12332296371459961
R,0.06476211547851562,RR,0.22899389266967773,0.12408685684204102
R,0.0647878646850586,RR,0.22521758079528809,0.1233220100402832
